epoch,train_loss,valid_accuracy,lr
1,0.5911285626888275,,9.779411764705882e-05
2,0.3802893941104412,,9.264705882352942e-05
3,0.221798265427351,,8.75e-05
4,0.08129195154644549,,8.23529411764706e-05
5,0.019339010308030993,,7.720588235294119e-05
6,0.0023301301017636432,,7.205882352941177e-05
7,0.00022107169366790912,,6.691176470588235e-05
8,7.296685780602274e-05,,6.176470588235295e-05
9,4.727645366074285e-05,,5.661764705882353e-05
10,2.724632957324502e-05,0.8070866141732284,5.147058823529411e-05
11,1.9533994745870586e-05,,4.632352941176471e-05
12,1.7040327866197912e-05,,4.11764705882353e-05
13,1.5257115392159903e-05,,3.6029411764705886e-05
14,1.4365485603775597e-05,,3.0882352941176475e-05
15,1.3564443343057064e-05,,2.5735294117647057e-05
16,1.3090613110762206e-05,,2.058823529411765e-05
17,1.2542876920633716e-05,,1.5441176470588237e-05
18,1.255061127267254e-05,,1.0294117647058824e-05
19,1.2313395618548384e-05,,5.147058823529412e-06
20,1.210064006045286e-05,0.8070866141732284,0.0
